# see https://en.wikipedia.org/wiki/Explosive
# based on https://www.govinfo.gov/content/pkg/FR-2020-01-02/pdf/2019-28316.pdf

Liquid oxygen explosives	UNKNOWN_GROUNDING
MDNP	UNKNOWN_GROUNDING
MEAN	UNKNOWN_GROUNDING
MMAN;	UNKNOWN_GROUNDING
Magnesium ophorite explosives	UNKNOWN_GROUNDING
Mannitol hexanitrate	UNKNOWN_GROUNDING
Mercuric fulminate	UNKNOWN_GROUNDING
Mercury oxalate	UNKNOWN_GROUNDING
Mercury tartrate	UNKNOWN_GROUNDING
Metriol trinitrate	UNKNOWN_GROUNDING
Minol-2	UNKNOWN_GROUNDING
Mononitrotoluene-nitroglycerin	UNKNOWN_GROUNDING
Monopropellants	UNKNOWN_GROUNDING
NIBTN	UNKNOWN_GROUNDING
Nitrate	UNKNOWN_GROUNDING
Nitrate	UNKNOWN_GROUNDING
Nitric acid	UNKNOWN_GROUNDING
Nitric acid	UNKNOWN_GROUNDING
Nitric acid	UNKNOWN_GROUNDING
Nitro aromatic	UNKNOWN_GROUNDING
Nitro compounds of furane explosive	UNKNOWN_GROUNDING
Nitro-substituted carboxylic acids	UNKNOWN_GROUNDING
Nitrocellulose explosive	UNKNOWN_GROUNDING
Nitroderivative of urea explosive	UNKNOWN_GROUNDING
Nitrogelatin explosive	UNKNOWN_GROUNDING
Nitrogen tri-iodide	UNKNOWN_GROUNDING
Nitrogen trichloride	UNKNOWN_GROUNDING
Nitroglycerine	UNKNOWN_GROUNDING
Nitroglycide	UNKNOWN_GROUNDING
Nitroglycol	UNKNOWN_GROUNDING
Nitroguanidine explosives	UNKNOWN_GROUNDING
Nitronium perchlorate propellant	UNKNOWN_GROUNDING
Nitroparaffins Explosive Grade and	UNKNOWN_GROUNDING
Nitrostarch	UNKNOWN_GROUNDING
Nitrotriazolone	UNKNOWN_GROUNDING
Nitrourea	UNKNOWN_GROUNDING
Nmethylaniline	UNKNOWN_GROUNDING
Octogen	UNKNOWN_GROUNDING
Octol	UNKNOWN_GROUNDING
Organic amine nitrates	UNKNOWN_GROUNDING
Organic nitramines	UNKNOWN_GROUNDING
PBX	UNKNOWN_GROUNDING
PETN	UNKNOWN_GROUNDING
PLX	UNKNOWN_GROUNDING
PYX	UNKNOWN_GROUNDING
Pellet powder	UNKNOWN_GROUNDING
Penthrinite composition	UNKNOWN_GROUNDING
Pentolite	UNKNOWN_GROUNDING
Perchlorate	UNKNOWN_GROUNDING
Peroxide based	UNKNOWN_GROUNDING
Picramic acid and its salts	UNKNOWN_GROUNDING
Picramide	UNKNOWN_GROUNDING
Picrate explosives	UNKNOWN_GROUNDING
Picrate of potassium	UNKNOWN_GROUNDING
Picratol	UNKNOWN_GROUNDING
Picric acid	UNKNOWN_GROUNDING
Picryl chloride	UNKNOWN_GROUNDING
Picryl fluoride	UNKNOWN_GROUNDING
Polynitro aliphatic compounds	UNKNOWN_GROUNDING
Polyolpolynitrate-nitrocellulose	UNKNOWN_GROUNDING
Potassium chlorate and lead	UNKNOWN_GROUNDING
Potassium nitrate	UNKNOWN_GROUNDING
Potassium nitroaminotetrazole	UNKNOWN_GROUNDING
Pyrotechnic compositions	UNKNOWN_GROUNDING
Pyrotechnic fuses	UNKNOWN_GROUNDING
RDX	UNKNOWN_GROUNDING
Safety fuse	UNKNOWN_GROUNDING
Salts of organic amino sulfonic acid	UNKNOWN_GROUNDING
Salutes	UNKNOWN_GROUNDING
Silver acetylide	UNKNOWN_GROUNDING
Silver azide	UNKNOWN_GROUNDING
Silver fulminate	UNKNOWN_GROUNDING
Silver oxalate	UNKNOWN_GROUNDING
Silver styphnate	UNKNOWN_GROUNDING
Silver tartrate	UNKNOWN_GROUNDING
Silver tetrazene	UNKNOWN_GROUNDING
Slurried	UNKNOWN_GROUNDING
Smokeless powder	UNKNOWN_GROUNDING
Sodatol	UNKNOWN_GROUNDING
Sodium amatol	UNKNOWN_GROUNDING
Sodium azide	UNKNOWN_GROUNDING
Sodium dinitro-ortho-cresolate	UNKNOWN_GROUNDING
Sodium nitrate	UNKNOWN_GROUNDING
Sodium nitrate-potassium nitrate	UNKNOWN_GROUNDING
Sodium picramate	UNKNOWN_GROUNDING
Squibs	UNKNOWN_GROUNDING
Styphnic acid explosives	UNKNOWN_GROUNDING
TATB	UNKNOWN_GROUNDING
TATP	UNKNOWN_GROUNDING
TEGDN	UNKNOWN_GROUNDING
TMETN	UNKNOWN_GROUNDING
TNEF	UNKNOWN_GROUNDING
TNEOF	UNKNOWN_GROUNDING
TNT	UNKNOWN_GROUNDING
TNT	UNKNOWN_GROUNDING
Tacot	UNKNOWN_GROUNDING
Tetranitrocarbazole	UNKNOWN_GROUNDING
Tetranitrocarbazole	UNKNOWN_GROUNDING
Tetrazene	UNKNOWN_GROUNDING
Tetrazole explosives	UNKNOWN_GROUNDING
Tetryl	UNKNOWN_GROUNDING
Tetrytol	UNKNOWN_GROUNDING
Thickened inorganic oxidizer salt	UNKNOWN_GROUNDING
Torpex	UNKNOWN_GROUNDING
Tridite	UNKNOWN_GROUNDING
Trimethylol ethyl methane trinitrate	UNKNOWN_GROUNDING
Trimethylolthane trinitratenitrocellulose	UNKNOWN_GROUNDING
Trimonite	UNKNOWN_GROUNDING
Trinitro-meta-cresol	UNKNOWN_GROUNDING
Trinitroanisole	UNKNOWN_GROUNDING
Trinitrobenzene	UNKNOWN_GROUNDING
Trinitrobenzenesulfonic acid	UNKNOWN_GROUNDING
Trinitrobenzoic acid	UNKNOWN_GROUNDING
Trinitrocresol	UNKNOWN_GROUNDING
Trinitrofluorenone	UNKNOWN_GROUNDING
Trinitronaphthalene	UNKNOWN_GROUNDING
Trinitrophenetol	UNKNOWN_GROUNDING
Trinitrophloroglucinol	UNKNOWN_GROUNDING
Trinitroresorcinol	UNKNOWN_GROUNDING
Tritonal	UNKNOWN_GROUNDING
Urea nitrate	UNKNOWN_GROUNDING
Water-bearing explosives	UNKNOWN_GROUNDING
Water-in-oil emulsion explosive	UNKNOWN_GROUNDING
Xanthomonas hydrophilic colloid	UNKNOWN_GROUNDING
aluminum explosive system	UNKNOWN_GROUNDING
ammonia	UNKNOWN_GROUNDING
ammonium nitrate	UNKNOWN_GROUNDING
diaminohexanitrobiphenyl	UNKNOWN_GROUNDING
dinitropyridine	UNKNOWN_GROUNDING
ethylenediamine	UNKNOWN_GROUNDING
explosive	UNKNOWN_GROUNDING
fuel	UNKNOWN_GROUNDING
hexamethylenetriperoxidediamine	UNKNOWN_GROUNDING
hydrate	UNKNOWN_GROUNDING
hydrazine	UNKNOWN_GROUNDING
hydrazine	UNKNOWN_GROUNDING
hydrocarbons	UNKNOWN_GROUNDING
inorganic oxidizing salt	UNKNOWN_GROUNDING
insoluble fuels	UNKNOWN_GROUNDING
isomorphously substituted inorganic	UNKNOWN_GROUNDING
methylamine nitrate	UNKNOWN_GROUNDING
nitrate	UNKNOWN_GROUNDING
nitro	UNKNOWN_GROUNDING
nitro-carbo-nitrates	UNKNOWN_GROUNDING
nitroacetoxyethane	UNKNOWN_GROUNDING
nitroparaffin	UNKNOWN_GROUNDING
octogene	UNKNOWN_GROUNDING
oxidizing acids and nitrogen bases	UNKNOWN_GROUNDING
pentaerythrite tetranitrate	UNKNOWN_GROUNDING
pentaerythritol tetranitrate	UNKNOWN_GROUNDING
perchlorate composite propellant	UNKNOWN_GROUNDING
propellant	UNKNOWN_GROUNDING
salts	UNKNOWN_GROUNDING
sensitized nitromethane	UNKNOWN_GROUNDING
sulfates or sulfamates	UNKNOWN_GROUNDING
sulfide	UNKNOWN_GROUNDING
sulfocyanate explosive	UNKNOWN_GROUNDING
sulfonic acid	UNKNOWN_GROUNDING
tetranitromethane	UNKNOWN_GROUNDING
tetrazolyl	UNKNOWN_GROUNDING
trimethylolethane	UNKNOWN_GROUNDING
trinitramine	UNKNOWN_GROUNDING
trinitrate	UNKNOWN_GROUNDING
trinitroglycerine	UNKNOWN_GROUNDING
trinitroresorcinate	UNKNOWN_GROUNDING
triton	UNKNOWN_GROUNDING
